DATAFLOW,LAST UPDATE,freq,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI:Finland,2023,2810493,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI193:Keski-Suomi (NUTS 2021),2023,137757,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI194:Etelä-Pohjanmaa (NUTS 2021),2023,93269,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI195:Pohjanmaa (NUTS 2021),2023,89039,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI196:Satakunta,2023,107084,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI197:Pirkanmaa (NUTS 2021),2023,269060,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI1B1:Helsinki-Uusimaa,2023,883300,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI1C1:Varsinais-Suomi,2023,247156,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI1C2:Kanta-Häme,2023,85554,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI1C3:Päijät-Häme (NUTS 2021),2023,101225,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI1C4:Kymenlaakso (NUTS 2021),2023,83708,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI1C5:Etelä-Karjala,2023,62718,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI1D1:Etelä-Savo (NUTS 2021),2023,69677,,
ESTAT:DEMO_R_PJANGRP3(1.0),14/02/25 11:00:00,A:Annual,F:Females,NR:Number,TOTAL:Total,FI1D2:Pohjois-Savo (NUTS 2021),2023,122927,,
