,date,total_tp,country
0,2023-12-31,0.0,CZ
1,2024-01-01,0.0,CZ
2,2024-01-02,0.0,CZ
3,2024-01-03,0.0,CZ
4,2024-01-04,0.0,CZ
5,2024-01-05,0.0,CZ
6,2024-01-06,0.0,CZ
7,2024-01-07,0.0,CZ
8,2024-01-08,0.0,CZ
9,2024-01-09,0.0,CZ
10,2024-01-10,0.0,CZ
11,2024-01-11,0.0,CZ
12,2024-01-12,0.0,CZ
13,2024-01-13,0.0,CZ
14,2024-01-14,0.0,CZ
15,2024-01-15,0.0,CZ
16,2024-01-16,0.0,CZ
17,2024-01-17,0.0,CZ
18,2024-01-18,0.0,CZ
19,2024-01-19,0.0,CZ
20,2024-01-20,0.0,CZ
21,2024-01-21,0.0,CZ
22,2024-01-22,0.0,CZ
23,2024-01-23,0.0,CZ
24,2024-01-24,0.0,CZ
25,2024-01-25,0.0,CZ
26,2024-01-26,0.0,CZ
27,2024-01-27,0.0,CZ
28,2024-01-28,0.0,CZ
29,2024-01-29,0.0,CZ
30,2024-01-30,0.0,CZ
31,2024-01-31,0.0,CZ
32,2024-02-01,0.0,CZ
33,2024-02-02,0.0,CZ
34,2024-02-03,0.0,CZ
35,2024-02-04,0.0,CZ
36,2024-02-05,0.0,CZ
37,2024-02-06,0.0,CZ
38,2024-02-07,0.0,CZ
39,2024-02-08,0.0,CZ
40,2024-02-09,0.0,CZ
41,2024-02-10,0.0,CZ
42,2024-02-11,6.3824176e-05,CZ
43,2024-02-12,0.0,CZ
44,2024-02-13,0.0,CZ
45,2024-02-14,0.0,CZ
46,2024-02-15,0.0,CZ
47,2024-02-16,0.0,CZ
48,2024-02-17,0.0,CZ
49,2024-02-18,0.0,CZ
50,2024-02-19,0.0,CZ
51,2024-02-20,0.0,CZ
52,2024-02-21,0.0,CZ
53,2024-02-22,0.0,CZ
54,2024-02-23,0.0,CZ
55,2024-02-24,0.0,CZ
56,2024-02-25,0.0,CZ
57,2024-02-26,0.0,CZ
58,2024-02-27,0.0,CZ
59,2024-02-28,0.0,CZ
60,2024-02-29,0.0,CZ
61,2024-03-01,0.0,CZ
62,2024-03-02,0.0,CZ
63,2024-03-03,0.0,CZ
64,2024-03-04,0.0,CZ
65,2024-03-05,0.0,CZ
66,2024-03-06,0.0,CZ
67,2024-03-07,0.0,CZ
68,2024-03-08,1.6178456e-07,CZ
69,2024-03-09,4.8521906e-07,CZ
70,2024-03-10,4.0442683e-07,CZ
71,2024-03-11,0.0,CZ
72,2024-03-12,3.423338e-05,CZ
73,2024-03-13,0.0,CZ
74,2024-03-14,0.0,CZ
75,2024-03-15,0.0,CZ
76,2024-03-16,0.0,CZ
